"","gene1","gene2"
"1","MAP2K4","FLNC"
"2","MYPN","ACTN2"
"3","ACVR1","FNTA"
"4","GATA2","PML"
"6","ARF1","GGA3"
"7","ARF3","ARFIP2"
"8","ARF3","ARFIP1"
"10","XRN1","ALDOA"
"11","APP","APPBP2"
"15","APOB","MTTP"
"17","CSF1R","GRB2"
"19","LSM1","NARS"
"21","BCL3","BARD1"
"22","ADRB1","GIPC1"
"23","BRCA1","ATF1"
"24","BRCA1","MSH2"
"25","BRCA1","BARD1"
"26","BRCA1","MSH6"
"27","ARVCF","CDH15"
"28","PCBD1","CACNA1C"
"30","CAPN3","TTN"
"31","ITPR1","CA8"
"35","TSG101","CDKN1A"
"36","ORC1","MCM2"
"37","ORC4","MCM2"
"39","CDC7","MCM2"
"40","ORC2","MCM2"
"42","DBF4","MCM2"
"43","AKAP8","MCM2"
"44","MCM2","MCM2"
"45","RPA1","MCM2"
"46","RPA3","MCM2"
"47","ORC5","MCM2"
"49","YWHAZ","CDC25A"
"52","CDKN3","CDK2"
"54","HAND2","CENPB"
"55","CLTC","HGS"
"58","ATF2","SMAD3"
"59","ATF2","SMAD4"
"61","RALBP1","CCNB1"
"62","PPIB","CAMLG"
"63","CSRP1","CSRP1"
"64","CSK","INSR"
"65","CSK","IGF1R"
"66","DCN","EGFR"
"67","SIM2","ARNT"
"68","SIM1","ARNT"
"69","NPAS4","ARNT"
"70","HBEGF","ZBTB16"
"72","TOPBP1","TOP2B"
"75","LSM4","SNRPE"
"76","LSM5","SNRPE"
"78","CREBBP","EGR1"
"84","KDR","ANXA5"
"89","FGFR1","FDPS"
"90","TGFB1","FNTA"
"93","MPP6","FTL"
"98","SFN","NR3C1"
"99","TGFB1I1","NR3C1"
"100","NR3C1","ECD"
"102","HSPA5","DPH1"
"103","SLC2A2","KPNA2"
"105","GRIK2","SDCBP"
"108","GRIK1","SDCBP"
"109","CCNT1","GRN"
"110","RGS19","GNAZ"
"111","RGS19","GNAO1"
"112","RGS19","GNAI2"
"114","HSP90AA1","LSM1"
"115","HSF2","UBE2I"
"116","LIMK1","NRG1"
"138","HAP1","HTT"
"141","TRIP10","HTT"
"143","TCF3","HAND2"
"144","TCF3","ID3"
"145","IGF1R","IRS1"
"146","YWHAE","IGF1R"
"147","SOCS1","IGF1R"
"148","PTK2","IRS1"
"149","MAPK8","IRS1"
"150","INSR","IRS1"
"151","IL1A","NDN"
"152","JAK2","PRMT5"
"153","JAK2","SOCS1"
"162","BNIP2","BCL2"
"163","SMN1","BCL2"
"164","TP53BP2","BCL2"
"166","BCL2","BECN1"
"167","NFKB1","LYL1"
"175","PIAS4","LEF1"
"176","MITF","LEF1"
"178","YBX1","SRSF9"
"179","ATRNL1","MC4R"
"180","ATF7IP","MBD1"
"181","CHAF1A","MBD1"
"182","MITF","PIAS3"
"183","MITF","PATZ1"
"184","MITF","UBE2I"
"185","ANP32A","MAP1B"
"186","MAP1B","ANP32A"
"187","MCM7","ORC1"
"189","MCM7","DBF4"
"190","MCM7","CDC7"
"192","MCM7","RPA1"
"193","MCM7","FHL2"
"194","MCM7","ORC2"
