"perm","mu","name","size","DC","method","power"
"FALSE",0.1,"Fructose and mannose metabolism",28,0.107142857142857,"NetGSA",0
"FALSE",0.1,"Galactose metabolism",24,0.208333333333333,"NetGSA",0
"FALSE",0.1,"Ascorbate and aldarate metabolism",13,0,"NetGSA",0
"FALSE",0.1,"Purine metabolism",141,0.0921985815602837,"NetGSA",0
"FALSE",0.1,"Caffeine metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Pyrimidine metabolism",84,0.107142857142857,"NetGSA",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism",33,0.121212121212121,"NetGSA",0
"FALSE",0.1,"Glycine, serine and threonine metabolism",32,0,"NetGSA",0
"FALSE",0.1,"Cysteine and methionine metabolism",39,0.0256410256410256,"NetGSA",0
"FALSE",0.1,"Arginine and proline metabolism",37,0.0540540540540541,"NetGSA",0
"FALSE",0.1,"Histidine metabolism",17,0.0588235294117647,"NetGSA",0
"FALSE",0.1,"Tyrosine metabolism",32,0.03125,"NetGSA",0
"FALSE",0.1,"Phenylalanine metabolism",14,0.0714285714285714,"NetGSA",0
"FALSE",0.1,"Tryptophan metabolism",30,0,"NetGSA",0
"FALSE",0.1,"beta-Alanine metabolism",29,0.0344827586206897,"NetGSA",0
"FALSE",0.1,"Taurine and hypotaurine metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Selenocompound metabolism",11,0,"NetGSA",0
"FALSE",0.1,"Glutathione metabolism",42,0,"NetGSA",0
"FALSE",0.1,"Starch and sucrose metabolism",30,0.2,"NetGSA",0
"FALSE",0.1,"Amino sugar and nucleotide sugar metabolism",42,0.142857142857143,"NetGSA",0
"FALSE",0.1,"Glycerolipid metabolism",47,0.0212765957446809,"NetGSA",0
"FALSE",0.1,"Inositol phosphate metabolism",63,0.0317460317460317,"NetGSA",0
"FALSE",0.1,"Glycerophospholipid metabolism",70,0.1,"NetGSA",0
"FALSE",0.1,"Ether lipid metabolism",36,0.138888888888889,"NetGSA",0
"FALSE",0.1,"Arachidonic acid metabolism",53,0.0754716981132075,"NetGSA",0
"FALSE",0.1,"Linoleic acid metabolism",26,0.153846153846154,"NetGSA",0
"FALSE",0.1,"alpha-Linolenic acid metabolism",22,0.181818181818182,"NetGSA",0
"FALSE",0.1,"Sphingolipid metabolism",30,0,"NetGSA",0
"FALSE",0.1,"Pyruvate metabolism",36,0.0277777777777778,"NetGSA",0
"FALSE",0.1,"Glyoxylate and dicarboxylate metabolism",24,0,"NetGSA",0
"FALSE",0.1,"Propanoate metabolism",30,0,"NetGSA",0
"FALSE",0.1,"Butanoate metabolism",23,0,"NetGSA",0
"FALSE",0.1,"Thiamine metabolism",10,0,"NetGSA",0
"FALSE",0.1,"Riboflavin metabolism",8,0.125,"NetGSA",0
"FALSE",0.1,"Vitamin B6 metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Nicotinate and nicotinamide metabolism",20,0.1,"NetGSA",0
"FALSE",0.1,"Retinol metabolism",50,0,"NetGSA",0
"FALSE",0.1,"Porphyrin and chlorophyll metabolism",29,0,"NetGSA",0
"FALSE",0.1,"Sulfur metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - cytochrome P450",55,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - other enzymes",63,0.0317460317460317,"NetGSA",0
"FALSE",0.1,"Cholesterol metabolism",29,0.0344827586206897,"NetGSA",0
"FALSE",0.1,"Central carbon metabolism in cancer",55,0.163636363636364,"NetGSA",0
"FALSE",0.1,"Choline metabolism in cancer",74,0.108108108108108,"NetGSA",0
"FALSE",0.1,"MAPK signaling pathway",271,0.14760147601476,"NetGSA",0
"FALSE",0.1,"ErbB signaling pathway",78,0.115384615384615,"NetGSA",0
"FALSE",0.1,"Ras signaling pathway",208,0.0865384615384615,"NetGSA",0
"FALSE",0.1,"Rap1 signaling pathway",185,0.102702702702703,"NetGSA",0
"FALSE",0.1,"Calcium signaling pathway",160,0.0625,"NetGSA",0
"FALSE",0.1,"cGMP-PKG signaling pathway",137,0.131386861313869,"NetGSA",0
"FALSE",0.1,"cAMP signaling pathway",182,0.0824175824175824,"NetGSA",0
"FALSE",0.1,"Chemokine signaling pathway",168,0.101190476190476,"NetGSA",0
"FALSE",0.1,"NF-kappa B signaling pathway",68,0.0147058823529412,"NetGSA",0
"FALSE",0.1,"HIF-1 signaling pathway",89,0.112359550561798,"NetGSA",0
"FALSE",0.1,"FoxO signaling pathway",114,0.12280701754386,"NetGSA",0
"FALSE",0.1,"Phosphatidylinositol signaling system",69,0.0289855072463768,"NetGSA",0
"FALSE",0.1,"Sphingolipid signaling pathway",87,0.149425287356322,"NetGSA",0
"FALSE",0.1,"Phospholipase D signaling pathway",101,0.128712871287129,"NetGSA",0
"FALSE",0.1,"p53 signaling pathway",66,0.0303030303030303,"NetGSA",0
"FALSE",0.1,"mTOR signaling pathway",121,0.239669421487603,"NetGSA",0
"FALSE",0.1,"PI3K-Akt signaling pathway",310,0.0645161290322581,"NetGSA",0
"FALSE",0.1,"AMPK signaling pathway",86,0.104651162790698,"NetGSA",0
"FALSE",0.1,"Adrenergic signaling in cardiomyocytes",136,0.213235294117647,"NetGSA",0
"FALSE",0.1,"Wnt signaling pathway",133,0.233082706766917,"NetGSA",0
"FALSE",0.1,"Notch signaling pathway",45,0.0444444444444444,"NetGSA",0
"FALSE",0.1,"Hedgehog signaling pathway",42,0,"NetGSA",0
"FALSE",0.1,"TGF-beta signaling pathway",70,0,"NetGSA",0
"FALSE",0.1,"VEGF signaling pathway",57,0.263157894736842,"NetGSA",0
"FALSE",0.1,"Apelin signaling pathway",121,0.173553719008264,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway",140,0.15,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway - multiple species",23,0,"NetGSA",0
"FALSE",0.1,"Toll-like receptor signaling pathway",81,0.123456790123457,"NetGSA",0
"FALSE",0.1,"NOD-like receptor signaling pathway",121,0.0330578512396694,"NetGSA",0
"FALSE",0.1,"RIG-I-like receptor signaling pathway",51,0.0588235294117647,"NetGSA",0
"FALSE",0.1,"C-type lectin receptor signaling pathway",102,0.137254901960784,"NetGSA",0
"FALSE",0.1,"JAK-STAT signaling pathway",135,0.0296296296296296,"NetGSA",0
"FALSE",0.1,"IL-17 signaling pathway",12,0,"NetGSA",0
"FALSE",0.1,"T cell receptor signaling pathway",92,0.130434782608696,"NetGSA",0
"FALSE",0.1,"B cell receptor signaling pathway",63,0.142857142857143,"NetGSA",0
"FALSE",0.1,"Fc epsilon RI signaling pathway",56,0.214285714285714,"NetGSA",0
"FALSE",0.1,"TNF signaling pathway",69,0.188405797101449,"NetGSA",0
"FALSE",0.1,"Neurotrophin signaling pathway",110,0.145454545454545,"NetGSA",0
"FALSE",0.1,"Retrograde endocannabinoid signaling",94,0.127659574468085,"NetGSA",0
"FALSE",0.1,"Insulin signaling pathway",122,0.155737704918033,"NetGSA",0
"FALSE",0.1,"GnRH signaling pathway",82,0.182926829268293,"NetGSA",0
"FALSE",0.1,"Estrogen signaling pathway",115,0.130434782608696,"NetGSA",0
"FALSE",0.1,"Prolactin signaling pathway",69,0.159420289855072,"NetGSA",0
"FALSE",0.1,"Thyroid hormone signaling pathway",103,0.16504854368932,"NetGSA",0
"FALSE",0.1,"Adipocytokine signaling pathway",57,0.105263157894737,"NetGSA",0
"FALSE",0.1,"Oxytocin signaling pathway",139,0.179856115107914,"NetGSA",0
"FALSE",0.1,"Glucagon signaling pathway",73,0.191780821917808,"NetGSA",0
"FALSE",0.1,"Relaxin signaling pathway",121,0.165289256198347,"NetGSA",0
"FALSE",0.1,"AGE-RAGE signaling pathway in diabetic complications",84,0.0952380952380952,"NetGSA",0
"FALSE",0.1,"Epithelial cell signaling in Helicobacter pylori infection",33,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Fatty acid biosynthesis",12,0,"NetGSA",0
"FALSE",0.1,"Steroid biosynthesis",15,0,"NetGSA",0
"FALSE",0.1,"Primary bile acid biosynthesis",17,0,"NetGSA",0
"FALSE",0.1,"Ubiquinone and other terpenoid-quinone biosynthesis",10,0,"NetGSA",0
"FALSE",0.1,"Steroid hormone biosynthesis",44,0,"NetGSA",0
"FALSE",0.1,"Arginine biosynthesis",18,0.0555555555555556,"NetGSA",0
"FALSE",0.1,"Phenylalanine, tyrosine and tryptophan biosynthesis",5,0.2,"NetGSA",0
"FALSE",0.1,"N-Glycan biosynthesis",44,0,"NetGSA",0
"FALSE",0.1,"Mucin type O-glycan biosynthesis",23,0,"NetGSA",0
"FALSE",0.1,"Mannose type O-glycan biosynthesis",13,0,"NetGSA",0
"FALSE",0.1,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",7,0,"NetGSA",0
"FALSE",0.1,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",5,0,"NetGSA",0
"FALSE",0.1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",22,0,"NetGSA",0
"FALSE",0.1,"Glycosphingolipid biosynthesis - lacto and neolacto series",26,0,"NetGSA",0
"FALSE",0.1,"Glycosphingolipid biosynthesis - globo and isoglobo series",13,0,"NetGSA",0
"FALSE",0.1,"Glycosphingolipid biosynthesis - ganglio series",15,0,"NetGSA",0
"FALSE",0.1,"Pantothenate and CoA biosynthesis",17,0.117647058823529,"NetGSA",0
"FALSE",0.1,"Folate biosynthesis",23,0,"NetGSA",0
"FALSE",0.1,"Terpenoid backbone biosynthesis",20,0.1,"NetGSA",0
"FALSE",0.1,"Aminoacyl-tRNA biosynthesis",11,0,"NetGSA",0
"FALSE",0.1,"Fructose and mannose metabolism",28,0.107142857142857,"DEGraph",0
"FALSE",0.1,"Galactose metabolism",24,0.208333333333333,"DEGraph",0
"FALSE",0.1,"Ascorbate and aldarate metabolism",13,0,"DEGraph",0
"FALSE",0.1,"Purine metabolism",141,0.0921985815602837,"DEGraph",0
"FALSE",0.1,"Caffeine metabolism",5,0,"DEGraph",0
"FALSE",0.1,"Pyrimidine metabolism",84,0.107142857142857,"DEGraph",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism",33,0.121212121212121,"DEGraph",0
"FALSE",0.1,"Glycine, serine and threonine metabolism",32,0,"DEGraph",0
"FALSE",0.1,"Cysteine and methionine metabolism",39,0.0256410256410256,"DEGraph",0
"FALSE",0.1,"Arginine and proline metabolism",37,0.0540540540540541,"DEGraph",0
"FALSE",0.1,"Histidine metabolism",17,0.0588235294117647,"DEGraph",0
"FALSE",0.1,"Tyrosine metabolism",32,0.03125,"DEGraph",0
"FALSE",0.1,"Phenylalanine metabolism",14,0.0714285714285714,"DEGraph",0
