"perm","mu","name","size","DC","method","power"
"FALSE",0.1,"Fructose and mannose metabolism",28,0.178571428571429,"NetGSA",0
"FALSE",0.1,"Galactose metabolism",24,0.125,"NetGSA",0
"FALSE",0.1,"Ascorbate and aldarate metabolism",13,0,"NetGSA",0
"FALSE",0.1,"Purine metabolism",141,0.0638297872340425,"NetGSA",0
"FALSE",0.1,"Caffeine metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Pyrimidine metabolism",84,0.0952380952380952,"NetGSA",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism",33,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Glycine, serine and threonine metabolism",32,0,"NetGSA",0
"FALSE",0.1,"Cysteine and methionine metabolism",39,0,"NetGSA",0
"FALSE",0.1,"Arginine and proline metabolism",37,0,"NetGSA",0
"FALSE",0.1,"Histidine metabolism",17,0.0588235294117647,"NetGSA",0
"FALSE",0.1,"Tyrosine metabolism",32,0,"NetGSA",0
"FALSE",0.1,"Phenylalanine metabolism",14,0,"NetGSA",0
"FALSE",0.1,"Tryptophan metabolism",30,0,"NetGSA",0
"FALSE",0.1,"beta-Alanine metabolism",29,0,"NetGSA",0
"FALSE",0.1,"Taurine and hypotaurine metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Selenocompound metabolism",11,0,"NetGSA",0
"FALSE",0.1,"Glutathione metabolism",42,0,"NetGSA",0
"FALSE",0.1,"Starch and sucrose metabolism",30,0.0333333333333333,"NetGSA",0
"FALSE",0.1,"Amino sugar and nucleotide sugar metabolism",42,0.0952380952380952,"NetGSA",0
"FALSE",0.1,"Glycerolipid metabolism",47,0.106382978723404,"NetGSA",0
"FALSE",0.1,"Inositol phosphate metabolism",63,0.0793650793650794,"NetGSA",0
"FALSE",0.1,"Glycerophospholipid metabolism",70,0.1,"NetGSA",0
"FALSE",0.1,"Ether lipid metabolism",36,0.0555555555555556,"NetGSA",0
"FALSE",0.1,"Arachidonic acid metabolism",53,0.0377358490566038,"NetGSA",0
"FALSE",0.1,"Linoleic acid metabolism",26,0.0769230769230769,"NetGSA",0
"FALSE",0.1,"alpha-Linolenic acid metabolism",22,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Sphingolipid metabolism",30,0.0333333333333333,"NetGSA",0
"FALSE",0.1,"Pyruvate metabolism",36,0.0277777777777778,"NetGSA",0
"FALSE",0.1,"Glyoxylate and dicarboxylate metabolism",24,0,"NetGSA",0
"FALSE",0.1,"Propanoate metabolism",30,0,"NetGSA",0
"FALSE",0.1,"Butanoate metabolism",23,0,"NetGSA",0
"FALSE",0.1,"Thiamine metabolism",10,0,"NetGSA",0
"FALSE",0.1,"Riboflavin metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Vitamin B6 metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Nicotinate and nicotinamide metabolism",20,0.15,"NetGSA",0
"FALSE",0.1,"Retinol metabolism",50,0,"NetGSA",0
"FALSE",0.1,"Porphyrin and chlorophyll metabolism",29,0,"NetGSA",0
"FALSE",0.1,"Sulfur metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - cytochrome P450",55,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - other enzymes",63,0.0317460317460317,"NetGSA",0
"FALSE",0.1,"Cholesterol metabolism",29,0,"NetGSA",0
"FALSE",0.1,"Central carbon metabolism in cancer",55,0.254545454545455,"NetGSA",0
"FALSE",0.1,"Choline metabolism in cancer",74,0.189189189189189,"NetGSA",0
"FALSE",0.1,"MAPK signaling pathway",271,0.169741697416974,"NetGSA",0
"FALSE",0.1,"ErbB signaling pathway",78,0.192307692307692,"NetGSA",0
"FALSE",0.1,"Ras signaling pathway",208,0.192307692307692,"NetGSA",0
"FALSE",0.1,"Rap1 signaling pathway",185,0.205405405405405,"NetGSA",0
"FALSE",0.1,"Calcium signaling pathway",160,0.08125,"NetGSA",0
"FALSE",0.1,"cGMP-PKG signaling pathway",137,0.0802919708029197,"NetGSA",0
"FALSE",0.1,"cAMP signaling pathway",182,0.0989010989010989,"NetGSA",0
"FALSE",0.1,"Chemokine signaling pathway",168,0.107142857142857,"NetGSA",0
"FALSE",0.1,"NF-kappa B signaling pathway",68,0.0441176470588235,"NetGSA",0
"FALSE",0.1,"HIF-1 signaling pathway",89,0.168539325842697,"NetGSA",0
"FALSE",0.1,"FoxO signaling pathway",114,0.131578947368421,"NetGSA",0
"FALSE",0.1,"Phosphatidylinositol signaling system",69,0.072463768115942,"NetGSA",0
"FALSE",0.1,"Sphingolipid signaling pathway",87,0.183908045977011,"NetGSA",0
"FALSE",0.1,"Phospholipase D signaling pathway",101,0.188118811881188,"NetGSA",0
"FALSE",0.1,"p53 signaling pathway",66,0.0303030303030303,"NetGSA",0
"FALSE",0.1,"mTOR signaling pathway",121,0.140495867768595,"NetGSA",0
"FALSE",0.1,"PI3K-Akt signaling pathway",310,0.141935483870968,"NetGSA",0
"FALSE",0.1,"AMPK signaling pathway",86,0.116279069767442,"NetGSA",0
"FALSE",0.1,"Adrenergic signaling in cardiomyocytes",136,0.176470588235294,"NetGSA",0
"FALSE",0.1,"Wnt signaling pathway",133,0.180451127819549,"NetGSA",0
"FALSE",0.1,"Notch signaling pathway",45,0.0444444444444444,"NetGSA",0
"FALSE",0.1,"Hedgehog signaling pathway",42,0.0238095238095238,"NetGSA",0
"FALSE",0.1,"TGF-beta signaling pathway",70,0.0428571428571429,"NetGSA",0
"FALSE",0.1,"VEGF signaling pathway",57,0.298245614035088,"NetGSA",0
"FALSE",0.1,"Apelin signaling pathway",121,0.165289256198347,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway",140,0.157142857142857,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway - multiple species",23,0.0434782608695652,"NetGSA",0
"FALSE",0.1,"Toll-like receptor signaling pathway",81,0.0987654320987654,"NetGSA",0
"FALSE",0.1,"NOD-like receptor signaling pathway",121,0.0495867768595041,"NetGSA",0
"FALSE",0.1,"RIG-I-like receptor signaling pathway",51,0.0392156862745098,"NetGSA",0
"FALSE",0.1,"C-type lectin receptor signaling pathway",102,0.127450980392157,"NetGSA",0
"FALSE",0.1,"JAK-STAT signaling pathway",135,0.0888888888888889,"NetGSA",0
