"mu","name","size","method","type1error"
0,"Fructose and mannose metabolism",28,"NetGSA",0
0,"Galactose metabolism",24,"NetGSA",0.01
0,"Ascorbate and aldarate metabolism",13,"NetGSA",0
0,"Purine metabolism",141,"NetGSA",0
0,"Caffeine metabolism",5,"NetGSA",0
0,"Pyrimidine metabolism",84,"NetGSA",0
0,"Alanine, aspartate and glutamate metabolism",33,"NetGSA",0
0,"Glycine, serine and threonine metabolism",32,"NetGSA",0
0,"Cysteine and methionine metabolism",39,"NetGSA",0.005
0,"Arginine and proline metabolism",37,"NetGSA",0.01
0,"Histidine metabolism",17,"NetGSA",0
0,"Tyrosine metabolism",32,"NetGSA",0
0,"Phenylalanine metabolism",14,"NetGSA",0
0,"Tryptophan metabolism",30,"NetGSA",0
0,"beta-Alanine metabolism",29,"NetGSA",0
0,"Taurine and hypotaurine metabolism",8,"NetGSA",0
0,"Selenocompound metabolism",11,"NetGSA",0
0,"Glutathione metabolism",42,"NetGSA",0.005
0,"Starch and sucrose metabolism",30,"NetGSA",0
0,"Amino sugar and nucleotide sugar metabolism",42,"NetGSA",0.005
0,"Glycerolipid metabolism",47,"NetGSA",0.01
0,"Inositol phosphate metabolism",63,"NetGSA",0.005
0,"Glycerophospholipid metabolism",70,"NetGSA",0
0,"Ether lipid metabolism",36,"NetGSA",0
0,"Arachidonic acid metabolism",53,"NetGSA",0
0,"Linoleic acid metabolism",26,"NetGSA",0
0,"alpha-Linolenic acid metabolism",22,"NetGSA",0
0,"Sphingolipid metabolism",30,"NetGSA",0
0,"Pyruvate metabolism",36,"NetGSA",0
0,"Glyoxylate and dicarboxylate metabolism",24,"NetGSA",0
0,"Propanoate metabolism",30,"NetGSA",0.005
0,"Butanoate metabolism",23,"NetGSA",0
0,"Thiamine metabolism",10,"NetGSA",0
0,"Riboflavin metabolism",8,"NetGSA",0
0,"Vitamin B6 metabolism",5,"NetGSA",0
0,"Nicotinate and nicotinamide metabolism",20,"NetGSA",0
0,"Retinol metabolism",50,"NetGSA",0
0,"Porphyrin and chlorophyll metabolism",29,"NetGSA",0
0,"Sulfur metabolism",8,"NetGSA",0
0,"Drug metabolism - cytochrome P450",55,"NetGSA",0
0,"Drug metabolism - other enzymes",63,"NetGSA",0
0,"Cholesterol metabolism",29,"NetGSA",0
0,"Central carbon metabolism in cancer",55,"NetGSA",0
0,"Choline metabolism in cancer",74,"NetGSA",0
0,"MAPK signaling pathway",271,"NetGSA",0.005
0,"ErbB signaling pathway",78,"NetGSA",0.005
0,"Ras signaling pathway",208,"NetGSA",0.02
0,"Rap1 signaling pathway",185,"NetGSA",0.02
0,"Calcium signaling pathway",160,"NetGSA",0.05
0,"cGMP-PKG signaling pathway",137,"NetGSA",0.08
0,"cAMP signaling pathway",182,"NetGSA",0.085
0,"Chemokine signaling pathway",168,"NetGSA",0.01
0,"NF-kappa B signaling pathway",68,"NetGSA",0
0,"HIF-1 signaling pathway",89,"NetGSA",0.005
0,"FoxO signaling pathway",114,"NetGSA",0
0,"Phosphatidylinositol signaling system",69,"NetGSA",0.04
0,"Sphingolipid signaling pathway",87,"NetGSA",0.01
0,"Phospholipase D signaling pathway",101,"NetGSA",0.005
0,"p53 signaling pathway",66,"NetGSA",0.005
0,"mTOR signaling pathway",121,"NetGSA",0.01
0,"PI3K-Akt signaling pathway",310,"NetGSA",0.055
0,"AMPK signaling pathway",86,"NetGSA",0.005
0,"Adrenergic signaling in cardiomyocytes",136,"NetGSA",0.06
0,"Wnt signaling pathway",133,"NetGSA",0.03
0,"Notch signaling pathway",45,"NetGSA",0
0,"Hedgehog signaling pathway",42,"NetGSA",0
0,"TGF-beta signaling pathway",70,"NetGSA",0
0,"VEGF signaling pathway",57,"NetGSA",0.005
0,"Apelin signaling pathway",121,"NetGSA",0.015
0,"Hippo signaling pathway",140,"NetGSA",0
0,"Hippo signaling pathway - multiple species",23,"NetGSA",0
0,"Toll-like receptor signaling pathway",81,"NetGSA",0
0,"NOD-like receptor signaling pathway",121,"NetGSA",0
0,"RIG-I-like receptor signaling pathway",51,"NetGSA",0
0,"C-type lectin receptor signaling pathway",102,"NetGSA",0
0,"JAK-STAT signaling pathway",135,"NetGSA",0
0,"IL-17 signaling pathway",12,"NetGSA",0
0,"T cell receptor signaling pathway",92,"NetGSA",0
0,"B cell receptor signaling pathway",63,"NetGSA",0
0,"Fc epsilon RI signaling pathway",56,"NetGSA",0
0,"TNF signaling pathway",69,"NetGSA",0
0,"Neurotrophin signaling pathway",110,"NetGSA",0.01
0,"Retrograde endocannabinoid signaling",94,"NetGSA",0
0,"Insulin signaling pathway",122,"NetGSA",0
0,"GnRH signaling pathway",82,"NetGSA",0.035
