"perm","mu","name","size","DC","method","power"
"FALSE",0.1,"Fructose and mannose metabolism",31,0,"NetGSA",0
"FALSE",0.1,"Galactose metabolism",27,0.148148148148148,"NetGSA",0
"FALSE",0.1,"Ascorbate and aldarate metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Purine metabolism",153,0.0457516339869281,"NetGSA",0
"FALSE",0.1,"Pyrimidine metabolism",88,0.102272727272727,"NetGSA",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism",32,0.15625,"NetGSA",0
"FALSE",0.1,"Glycine, serine and threonine metabolism",29,0.103448275862069,"NetGSA",0
"FALSE",0.1,"Cysteine and methionine metabolism",39,0,"NetGSA",0
"FALSE",0.1,"Arginine and proline metabolism",41,0,"NetGSA",0
"FALSE",0.1,"Histidine metabolism",20,0,"NetGSA",0
"FALSE",0.1,"Tyrosine metabolism",32,0.09375,"NetGSA",0
"FALSE",0.1,"Phenylalanine metabolism",14,0.0714285714285714,"NetGSA",0
"FALSE",0.1,"Tryptophan metabolism",34,0.0294117647058824,"NetGSA",0
"FALSE",0.1,"beta-Alanine metabolism",29,0,"NetGSA",0
"FALSE",0.1,"Taurine and hypotaurine metabolism",10,0,"NetGSA",0
"FALSE",0.1,"Phosphonate and phosphinate metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Selenocompound metabolism",11,0,"NetGSA",0
"FALSE",0.1,"Glutathione metabolism",48,0,"NetGSA",0
"FALSE",0.1,"Starch and sucrose metabolism",30,0.0666666666666667,"NetGSA",0
"FALSE",0.1,"Amino sugar and nucleotide sugar metabolism",42,0.119047619047619,"NetGSA",0
"FALSE",0.1,"Glycerolipid metabolism",53,0,"NetGSA",0
"FALSE",0.1,"Inositol phosphate metabolism",70,0.242857142857143,"NetGSA",0
"FALSE",0.1,"Glycerophospholipid metabolism",84,0,"NetGSA",0
"FALSE",0.1,"Ether lipid metabolism",39,0,"NetGSA",0
"FALSE",0.1,"Arachidonic acid metabolism",56,0,"NetGSA",0
"FALSE",0.1,"Linoleic acid metabolism",25,0,"NetGSA",0
"FALSE",0.1,"alpha-Linolenic acid metabolism",22,0,"NetGSA",0
"FALSE",0.1,"Sphingolipid metabolism",43,0.0930232558139535,"NetGSA",0
"FALSE",0.1,"Pyruvate metabolism",37,0.027027027027027,"NetGSA",0
"FALSE",0.1,"Glyoxylate and dicarboxylate metabolism",22,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Propanoate metabolism",31,0,"NetGSA",0
"FALSE",0.1,"Butanoate metabolism",22,0,"NetGSA",0
"FALSE",0.1,"Thiamine metabolism",14,0,"NetGSA",0
"FALSE",0.1,"Riboflavin metabolism",8,0.25,"NetGSA",0
"FALSE",0.1,"Nicotinate and nicotinamide metabolism",26,0.0769230769230769,"NetGSA",0
"FALSE",0.1,"Retinol metabolism",46,0.130434782608696,"NetGSA",0
"FALSE",0.1,"Porphyrin and chlorophyll metabolism",26,0,"NetGSA",0
"FALSE",0.1,"Sulfur metabolism",9,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - cytochrome P450",49,0.0204081632653061,"NetGSA",0
"FALSE",0.1,"Drug metabolism - other enzymes",58,0.0862068965517241,"NetGSA",0
"FALSE",0.1,"Cholesterol metabolism",27,0,"NetGSA",0
"FALSE",0.1,"Central carbon metabolism in cancer",54,0.277777777777778,"NetGSA",0
"FALSE",0.1,"Choline metabolism in cancer",71,0.338028169014085,"NetGSA",0
"FALSE",0.1,"MAPK signaling pathway",271,0.180811808118081,"NetGSA",0
"FALSE",0.1,"ErbB signaling pathway",76,0.368421052631579,"NetGSA",0
"FALSE",0.1,"Ras signaling pathway",203,0.201970443349754,"NetGSA",0
"FALSE",0.1,"Rap1 signaling pathway",183,0.218579234972678,"NetGSA",0
"FALSE",0.1,"Calcium signaling pathway",173,0.0809248554913295,"NetGSA",0
"FALSE",0.1,"cGMP-PKG signaling pathway",140,0.135714285714286,"NetGSA",0
"FALSE",0.1,"cAMP signaling pathway",182,0.159340659340659,"NetGSA",0
"FALSE",0.1,"Chemokine signaling pathway",166,0.210843373493976,"NetGSA",0
"FALSE",0.1,"NF-kappa B signaling pathway",70,0.1,"NetGSA",0
"FALSE",0.1,"HIF-1 signaling pathway",92,0.173913043478261,"NetGSA",0
"FALSE",0.1,"FoxO signaling pathway",109,0.247706422018349,"NetGSA",0
"FALSE",0.1,"Phosphatidylinositol signaling system",81,0.222222222222222,"NetGSA",0
