"perm","mu","name","size","DC","method","power"
"FALSE",0.1,"Fructose and mannose metabolism",31,0.0967741935483871,"NetGSA",0
"FALSE",0.1,"Galactose metabolism",27,0.185185185185185,"NetGSA",0
"FALSE",0.1,"Ascorbate and aldarate metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Purine metabolism",153,0.065359477124183,"NetGSA",0
"FALSE",0.1,"Pyrimidine metabolism",88,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism",32,0.125,"NetGSA",0
"FALSE",0.1,"Glycine, serine and threonine metabolism",29,0.0689655172413793,"NetGSA",0
"FALSE",0.1,"Cysteine and methionine metabolism",39,0.0256410256410256,"NetGSA",0
"FALSE",0.1,"Arginine and proline metabolism",41,0.024390243902439,"NetGSA",0
"FALSE",0.1,"Histidine metabolism",20,0.05,"NetGSA",0
"FALSE",0.1,"Tyrosine metabolism",32,0.125,"NetGSA",0
"FALSE",0.1,"Phenylalanine metabolism",14,0.142857142857143,"NetGSA",0
"FALSE",0.1,"Tryptophan metabolism",34,0.0294117647058824,"NetGSA",0
"FALSE",0.1,"beta-Alanine metabolism",29,0.0344827586206897,"NetGSA",0
"FALSE",0.1,"Taurine and hypotaurine metabolism",10,0,"NetGSA",0
"FALSE",0.1,"Phosphonate and phosphinate metabolism",5,0,"NetGSA",0
"FALSE",0.1,"Selenocompound metabolism",11,0,"NetGSA",0
"FALSE",0.1,"Glutathione metabolism",48,0,"NetGSA",0
"FALSE",0.1,"Starch and sucrose metabolism",30,0.166666666666667,"NetGSA",0
"FALSE",0.1,"Amino sugar and nucleotide sugar metabolism",42,0.142857142857143,"NetGSA",0
"FALSE",0.1,"Glycerolipid metabolism",53,0,"NetGSA",0
"FALSE",0.1,"Inositol phosphate metabolism",70,0.128571428571429,"NetGSA",0
"FALSE",0.1,"Glycerophospholipid metabolism",84,0.0119047619047619,"NetGSA",0
"FALSE",0.1,"Ether lipid metabolism",39,0.0256410256410256,"NetGSA",0
"FALSE",0.1,"Arachidonic acid metabolism",56,0.0178571428571429,"NetGSA",0
"FALSE",0.1,"Linoleic acid metabolism",25,0.04,"NetGSA",0
"FALSE",0.1,"alpha-Linolenic acid metabolism",22,0.0454545454545455,"NetGSA",0
"FALSE",0.1,"Sphingolipid metabolism",43,0,"NetGSA",0
"FALSE",0.1,"Pyruvate metabolism",37,0,"NetGSA",0
"FALSE",0.1,"Glyoxylate and dicarboxylate metabolism",22,0.0909090909090909,"NetGSA",0
"FALSE",0.1,"Propanoate metabolism",31,0,"NetGSA",0
"FALSE",0.1,"Butanoate metabolism",22,0,"NetGSA",0
"FALSE",0.1,"Thiamine metabolism",14,0,"NetGSA",0
"FALSE",0.1,"Riboflavin metabolism",8,0,"NetGSA",0
"FALSE",0.1,"Nicotinate and nicotinamide metabolism",26,0.0384615384615385,"NetGSA",0
"FALSE",0.1,"Retinol metabolism",46,0.108695652173913,"NetGSA",0
"FALSE",0.1,"Porphyrin and chlorophyll metabolism",26,0,"NetGSA",0
"FALSE",0.1,"Sulfur metabolism",9,0,"NetGSA",0
"FALSE",0.1,"Drug metabolism - cytochrome P450",49,0.0816326530612245,"NetGSA",0
"FALSE",0.1,"Drug metabolism - other enzymes",58,0.0344827586206897,"NetGSA",0
"FALSE",0.1,"Cholesterol metabolism",27,0,"NetGSA",0
"FALSE",0.1,"Central carbon metabolism in cancer",54,0.166666666666667,"NetGSA",0
"FALSE",0.1,"Choline metabolism in cancer",71,0.154929577464789,"NetGSA",0
"FALSE",0.1,"MAPK signaling pathway",271,0.140221402214022,"NetGSA",0
"FALSE",0.1,"ErbB signaling pathway",76,0.144736842105263,"NetGSA",0
"FALSE",0.1,"Ras signaling pathway",203,0.0935960591133005,"NetGSA",0
"FALSE",0.1,"Rap1 signaling pathway",183,0.109289617486339,"NetGSA",0
"FALSE",0.1,"Calcium signaling pathway",173,0.0809248554913295,"NetGSA",0
"FALSE",0.1,"cGMP-PKG signaling pathway",140,0.135714285714286,"NetGSA",0
"FALSE",0.1,"cAMP signaling pathway",182,0.104395604395604,"NetGSA",0
"FALSE",0.1,"Chemokine signaling pathway",166,0.108433734939759,"NetGSA",0
"FALSE",0.1,"NF-kappa B signaling pathway",70,0.0285714285714286,"NetGSA",0
"FALSE",0.1,"HIF-1 signaling pathway",92,0.130434782608696,"NetGSA",0
"FALSE",0.1,"FoxO signaling pathway",109,0.073394495412844,"NetGSA",0
"FALSE",0.1,"Phosphatidylinositol signaling system",81,0.135802469135802,"NetGSA",0
"FALSE",0.1,"Sphingolipid signaling pathway",87,0.183908045977011,"NetGSA",0
"FALSE",0.1,"Phospholipase D signaling pathway",107,0.158878504672897,"NetGSA",0
"FALSE",0.1,"p53 signaling pathway",69,0,"NetGSA",0
"FALSE",0.1,"mTOR signaling pathway",127,0.21259842519685,"NetGSA",0
"FALSE",0.1,"PI3K-Akt signaling pathway",315,0.0634920634920635,"NetGSA",0
"FALSE",0.1,"AMPK signaling pathway",88,0.0795454545454545,"NetGSA",0
"FALSE",0.1,"Adrenergic signaling in cardiomyocytes",135,0.222222222222222,"NetGSA",0
"FALSE",0.1,"Wnt signaling pathway",136,0.272058823529412,"NetGSA",0
"FALSE",0.1,"Notch signaling pathway",41,0.0731707317073171,"NetGSA",0
"FALSE",0.1,"Hedgehog signaling pathway",44,0,"NetGSA",0
"FALSE",0.1,"TGF-beta signaling pathway",69,0.0289855072463768,"NetGSA",0
"FALSE",0.1,"VEGF signaling pathway",49,0.285714285714286,"NetGSA",0
"FALSE",0.1,"Apelin signaling pathway",120,0.15,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway",142,0.133802816901408,"NetGSA",0
"FALSE",0.1,"Hippo signaling pathway - multiple species",27,0,"NetGSA",0
"FALSE",0.1,"Toll-like receptor signaling pathway",83,0.108433734939759,"NetGSA",0
"FALSE",0.1,"NOD-like receptor signaling pathway",134,0.0522388059701493,"NetGSA",0
"FALSE",0.1,"RIG-I-like receptor signaling pathway",61,0.0327868852459016,"NetGSA",0
"FALSE",0.1,"C-type lectin receptor signaling pathway",94,0.191489361702128,"NetGSA",0
"FALSE",0.1,"JAK-STAT signaling pathway",147,0.0476190476190476,"NetGSA",0
"FALSE",0.1,"IL-17 signaling pathway",12,0.0833333333333333,"NetGSA",0
"FALSE",0.1,"T cell receptor signaling pathway",90,0.144444444444444,"NetGSA",0
"FALSE",0.1,"B cell receptor signaling pathway",62,0.225806451612903,"NetGSA",0
"FALSE",0.1,"Fc epsilon RI signaling pathway",50,0.26,"NetGSA",0
"FALSE",0.1,"TNF signaling pathway",65,0.215384615384615,"NetGSA",0
"FALSE",0.1,"Neurotrophin signaling pathway",106,0.150943396226415,"NetGSA",0
"FALSE",0.1,"Retrograde endocannabinoid signaling",87,0.149425287356322,"NetGSA",0
"FALSE",0.1,"Insulin signaling pathway",126,0.126984126984127,"NetGSA",0
"FALSE",0.1,"GnRH signaling pathway",76,0.197368421052632,"NetGSA",0
"FALSE",0.1,"Estrogen signaling pathway",115,0.165217391304348,"NetGSA",0
"FALSE",0.1,"Prolactin signaling pathway",63,0.142857142857143,"NetGSA",0
"FALSE",0.1,"Thyroid hormone signaling pathway",101,0.207920792079208,"NetGSA",0
"FALSE",0.1,"Adipocytokine signaling pathway",59,0.0338983050847458,"NetGSA",0
"FALSE",0.1,"Oxytocin signaling pathway",139,0.165467625899281,"NetGSA",0
"FALSE",0.1,"Glucagon signaling pathway",81,0.185185185185185,"NetGSA",0
"FALSE",0.1,"Relaxin signaling pathway",115,0.191304347826087,"NetGSA",0
