"perm","mu","name","size","DC","method","power"
"FALSE",0.1,"2-Oxocarboxylic acid metabolism ",15,0.533333333333333,"NetGSA2",0
"FALSE",0.1,"Alanine, aspartate and glutamate metabolism ",23,0.565217391304348,"NetGSA2",0
"FALSE",0.1,"Amino sugar and nucleotide sugar metabolism ",11,0.818181818181818,"NetGSA2",0
"FALSE",0.1,"Aminoacyl-tRNA biosynthesis ",20,0.6,"NetGSA2",0
"FALSE",0.1,"Amphetamine addiction ",6,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Arginine and proline metabolism ",24,0.708333333333333,"NetGSA2",0
"FALSE",0.1,"Ascorbate and aldarate metabolism ",10,0.5,"NetGSA2",0
"FALSE",0.1,"beta-Alanine metabolism ",15,0.6,"NetGSA2",0
"FALSE",0.1,"Bile secretion ",8,0.625,"NetGSA2",0
"FALSE",0.1,"Biosynthesis of unsaturated fatty acids ",8,0.75,"NetGSA2",0
"FALSE",0.1,"Butanoate metabolism ",10,0.8,"NetGSA2",0
"FALSE",0.1,"Carbohydrate digestion and absorption ",6,0.833333333333333,"NetGSA2",0
"FALSE",0.1,"Chemical carcinogenesis ",7,0.714285714285714,"NetGSA2",0
"FALSE",0.1,"Citrate cycle (TCA cycle) ",8,0.375,"NetGSA2",0
"FALSE",0.1,"Cocaine addiction ",6,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Cysteine and methionine metabolism ",14,0.571428571428571,"NetGSA2",0
"FALSE",0.1,"Dopaminergic synapse ",6,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Drug metabolism - other enzymes ",15,0.533333333333333,"NetGSA2",0
"FALSE",0.1,"Fat digestion and absorption ",10,0.7,"NetGSA2",0
"FALSE",0.1,"Fatty acid elongation ",6,0.833333333333333,"NetGSA2",0
"FALSE",0.1,"Fatty acid metabolism ",9,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Fructose and mannose metabolism ",14,0.428571428571429,"NetGSA2",0
"FALSE",0.1,"GABAergic synapse ",8,0.75,"NetGSA2",0
"FALSE",0.1,"Galactose metabolism ",19,0.421052631578947,"NetGSA2",0
"FALSE",0.1,"Glutamatergic synapse ",7,0.857142857142857,"NetGSA2",0
"FALSE",0.1,"Glutathione metabolism ",11,0.545454545454545,"NetGSA2",0
"FALSE",0.1,"Glycerolipid metabolism ",21,0.333333333333333,"NetGSA2",0
"FALSE",0.1,"Glycerophospholipid metabolism ",10,0.5,"NetGSA2",0
"FALSE",0.1,"Glycine, serine and threonine metabolism ",18,0.611111111111111,"NetGSA2",0
"FALSE",0.1,"Glycolysis / Gluconeogenesis ",17,0.588235294117647,"NetGSA2",0
"FALSE",0.1,"Glycosphingolipid biosynthesis - globo series ",9,0.222222222222222,"NetGSA2",0
"FALSE",0.1,"Glyoxylate and dicarboxylate metabolism ",13,0.615384615384615,"NetGSA2",0
"FALSE",0.1,"HIF-1 signaling pathway ",8,0.75,"NetGSA2",0
"FALSE",0.1,"Histidine metabolism ",16,0.625,"NetGSA2",0
"FALSE",0.1,"Insulin signaling pathway ",10,0.8,"NetGSA2",0
"FALSE",0.1,"Long-term depression ",6,1,"NetGSA2",0
"FALSE",0.1,"Lysine biosynthesis ",12,0.5,"NetGSA2",0
"FALSE",0.1,"Lysine degradation ",12,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Lysosome ",15,0.4,"NetGSA2",0
"FALSE",0.1,"Nicotinate and nicotinamide metabolism ",14,0.5,"NetGSA2",0
"FALSE",0.1,"Pancreatic secretion ",6,0.666666666666667,"NetGSA2",0
"FALSE",0.1,"Pantothenate and CoA biosynthesis ",15,0.533333333333333,"NetGSA2",0
"FALSE",0.1,"Pentose and glucuronate interconversions ",13,0.461538461538462,"NetGSA2",0
"FALSE",0.1,"Pentose phosphate pathway ",7,0.428571428571429,"NetGSA2",0
"FALSE",0.1,"Peroxisome ",19,0.684210526315789,"NetGSA2",0
"FALSE",0.1,"Phenylalanine metabolism ",12,0.583333333333333,"NetGSA2",0
