"mu","name","size","method","type1error"
0,"2-Oxocarboxylic acid metabolism ",15,"NetGSA",0.026
0,"Alanine, aspartate and glutamate metabolism ",23,"NetGSA",0.002
0,"Amino sugar and nucleotide sugar metabolism ",11,"NetGSA",0.056
0,"Aminoacyl-tRNA biosynthesis ",20,"NetGSA",0.006
0,"Amphetamine addiction ",6,"NetGSA",0.014
0,"Arginine and proline metabolism ",24,"NetGSA",0.014
0,"Ascorbate and aldarate metabolism ",10,"NetGSA",0.049
0,"beta-Alanine metabolism ",15,"NetGSA",0.037
0,"Bile secretion ",8,"NetGSA",0.029
0,"Biosynthesis of unsaturated fatty acids ",8,"NetGSA",0
0,"Butanoate metabolism ",10,"NetGSA",0.012
0,"Carbohydrate digestion and absorption ",6,"NetGSA",0.035
0,"Chemical carcinogenesis ",7,"NetGSA",0.005
0,"Citrate cycle (TCA cycle) ",8,"NetGSA",0.006
0,"Cocaine addiction ",6,"NetGSA",0.014
0,"Cysteine and methionine metabolism ",14,"NetGSA",0.007
0,"Dopaminergic synapse ",6,"NetGSA",0.014
0,"Drug metabolism - other enzymes ",15,"NetGSA",0.042
0,"Fat digestion and absorption ",10,"NetGSA",0.01
0,"Fatty acid elongation ",6,"NetGSA",0
0,"Fatty acid metabolism ",9,"NetGSA",0.027
0,"Fructose and mannose metabolism ",14,"NetGSA",0.103
0,"GABAergic synapse ",8,"NetGSA",0.023
0,"Galactose metabolism ",19,"NetGSA",0.108
0,"Glutamatergic synapse ",7,"NetGSA",0.009
0,"Glutathione metabolism ",11,"NetGSA",0.016
0,"Glycerolipid metabolism ",21,"NetGSA",0.085
0,"Glycerophospholipid metabolism ",10,"NetGSA",0.021
0,"Glycine, serine and threonine metabolism ",18,"NetGSA",0.016
0,"Glycolysis / Gluconeogenesis ",17,"NetGSA",0.056
0,"Glycosphingolipid biosynthesis - globo series ",9,"NetGSA",0.012
0,"Glyoxylate and dicarboxylate metabolism ",13,"NetGSA",0.015
0,"HIF-1 signaling pathway ",8,"NetGSA",0.02
0,"Histidine metabolism ",16,"NetGSA",0.027
0,"Insulin signaling pathway ",10,"NetGSA",0.044
0,"Long-term depression ",6,"NetGSA",0.004
0,"Lysine biosynthesis ",12,"NetGSA",0.028
0,"Lysine degradation ",12,"NetGSA",0.023
0,"Lysosome ",15,"NetGSA",0.053
0,"Nicotinate and nicotinamide metabolism ",14,"NetGSA",0.035
0,"Pancreatic secretion ",6,"NetGSA",0.004
0,"Pantothenate and CoA biosynthesis ",15,"NetGSA",0.084
0,"Pentose and glucuronate interconversions ",13,"NetGSA",0.116
0,"Pentose phosphate pathway ",7,"NetGSA",0.109
0,"Peroxisome ",19,"NetGSA",0.006
0,"Phenylalanine metabolism ",12,"NetGSA",0.011
0,"Phenylalanine, tyrosine and tryptophan biosynthesis ",9,"NetGSA",0.012
0,"Porphyrin and chlorophyll metabolism ",6,"NetGSA",0.009
0,"PPAR signaling pathway ",10,"NetGSA",0.04
0,"Primary bile acid biosynthesis ",6,"NetGSA",0.037
0,"Propanoate metabolism ",11,"NetGSA",0.019
0,"Purine metabolism ",24,"NetGSA",0.029
0,"Pyrimidine metabolism ",17,"NetGSA",0.043
0,"Pyruvate metabolism ",18,"NetGSA",0.046
0,"Riboflavin metabolism ",6,"NetGSA",0.019
0,"Selenocompound metabolism ",9,"NetGSA",0.004
0,"Serotonergic synapse ",8,"NetGSA",0.007
0,"Sphingolipid metabolism ",12,"NetGSA",0.013
0,"Starch and sucrose metabolism ",12,"NetGSA",0.086
0,"Taurine and hypotaurine metabolism ",6,"NetGSA",0.014
0,"Tryptophan metabolism ",18,"NetGSA",0.015
0,"Tyrosine metabolism ",15,"NetGSA",0.005
0,"Ubiquinone and other terpenoid-quinone biosynthesis ",7,"NetGSA",0.007
0,"Valine, leucine and isoleucine biosynthesis ",6,"NetGSA",0.024
0,"Valine, leucine and isoleucine degradation ",18,"NetGSA",0.026
0,"2-Oxocarboxylic acid metabolism ",15,"DEGraph",0.001
0,"Alanine, aspartate and glutamate metabolism ",23,"DEGraph",0.002
0,"Amino sugar and nucleotide sugar metabolism ",11,"DEGraph",0.003
0,"Aminoacyl-tRNA biosynthesis ",20,"DEGraph",0.003
0,"Amphetamine addiction ",6,"DEGraph",0.005
0,"Arginine and proline metabolism ",24,"DEGraph",0
0,"Ascorbate and aldarate metabolism ",10,"DEGraph",0.002
0,"beta-Alanine metabolism ",15,"DEGraph",0.002
0,"Bile secretion ",8,"DEGraph",0.004
0,"Biosynthesis of unsaturated fatty acids ",8,"DEGraph",0.004
0,"Butanoate metabolism ",10,"DEGraph",0.001
0,"Carbohydrate digestion and absorption ",6,"DEGraph",0
0,"Chemical carcinogenesis ",7,"DEGraph",0.002
0,"Citrate cycle (TCA cycle) ",8,"DEGraph",0.001
0,"Cocaine addiction ",6,"DEGraph",0.005
